@tick,ticktime
442,2.07514E7
443,1.1415501E7
444,1.0761401E7
445,9621100.0
446,2.21512E7
447,1.1514899E7
448,9716800.0
449,2.07103E7
450,1.2312299E7
451,1.13407E7
452,1.08061E7
453,2.1114901E7
454,1.0809799E7
455,9920200.0
456,2.10869E7
457,9671900.0
458,1.2953299E7
459,1.01715E7
460,2.03715E7
461,1.1569099E7
462,1.02918E7
463,9491001.0
464,1.9954499E7
465,1.01803E7
466,9762600.0
467,9550000.0
468,2.03612E7
469,1.03556E7
470,9925501.0
471,9564100.0
472,2.03137E7
473,1.12232E7
474,1.0008699E7
475,9974800.0
476,1.95892E7
477,1.0453099E7
478,1.0350501E7
479,9963501.0
480,2.1243499E7
481,1.04662E7
482,9858500.0
483,9542500.0
484,2.0436E7
485,1.07299E7
486,9772200.0
487,2.2216599E7
488,1.02468E7
489,1.3179899E7
490,1.5513699E7
491,2.82783E7
492,1.52859E7
493,3.01372E7
494,2.05253E7
495,2.7382E7
496,1.66671E7
497,2.3335701E7
498,1.05966E7
499,1.29308E7
500,1.2772601E7
501,2.0932501E7
502,1.0426701E7
503,8791600.0
504,2.1442201E7
505,1.10491E7
506,1.0614801E7
507,9799000.0
508,1.9562E7
509,1.02558E7
510,1.01508E7
511,1.0192799E7
512,2.1262401E7
513,1.2036201E7
514,1.1521201E7
515,1.07855E7
516,1.9694E7
517,1.04721E7
518,9379299.0
519,9167900.0
520,2.0244699E7
521,9691700.0
522,8346200.0
523,8181700.0
524,1.86687E7
525,8801101.0
526,8935200.0
527,8107199.0
528,7971400.0
529,1.8709199E7
530,8768599.0
531,8698899.0
532,8123399.0
533,2.21476E7
534,9268800.0
535,9692900.0
536,8392900.0
537,1.9062101E7
538,9489800.0
539,9999800.0
540,1.22288E7
541,2.6082701E7
542,1.2588299E7
543,8913801.0
544,1.87038E7
545,8580000.0
546,9652500.0
547,9471100.0
548,9265899.0
549,2.10538E7
550,1.34746E7
551,8545300.0
552,8279700.0
553,1.87142E7
554,8297700.0
555,9390699.0
556,8094501.0
557,1.74035E7
558,8316899.0
559,8857499.0
560,8663099.0
561,8707500.0
562,1.83391E7
563,1.00106E7
564,1.01483E7
565,9490100.0
566,1.8576101E7
567,9688901.0
568,1.00434E7
569,1.02567E7
570,1.94159E7
571,9605101.0
572,9713200.0
573,9141700.0
574,1.05338E7
575,2.6122101E7
576,1.18947E7
577,1.0918E7
578,2.1166401E7
579,1.17313E7
580,1.0500099E7
581,1.9900499E7
582,1.08651E7
583,1.08894E7
584,1.02085E7
585,2.0084201E7
586,1.203E7
587,1.09497E7
588,1.0613201E7
589,2.04909E7
590,1.27248E7
591,1.1410699E7
592,2.06663E7
593,1.22014E7
594,1.12463E7
595,1.1786599E7
596,2.0717499E7
597,1.19245E7
598,1.0971399E7
599,2.0346799E7
600,1.2334E7
601,1.11445E7
602,1.0406E7
603,2.09211E7
604,1.09003E7
605,1.0691499E7
606,1.08544E7
607,2.0355E7
608,1.1708699E7
609,1.0953201E7
610,1.92079E7
611,1.5000201E7
612,9656601.0
613,9113400.0
614,1.83123E7
615,9546000.0
616,1.01472E7
617,9127500.0
618,1.78072E7
619,9273601.0
620,9591000.0
621,9113200.0
622,9599999.0
623,1.89223E7
624,1.02852E7
625,9059099.0
626,8667301.0
627,1.93864E7
628,1.0070799E7
629,9642500.0
630,9352900.0
631,1.9551501E7
632,1.04524E7
633,1.07182E7
634,1.30396E7
635,1.9727799E7
636,1.0939599E7
637,1.0146399E7
638,9705899.0
639,1.9501099E7
640,1.1003799E7
641,1.32812E7
642,1.9818699E7
643,1.04556E7
644,1.11981E7
645,1.0582601E7
646,2.09798E7
647,1.0619401E7
648,9694800.0
649,9182100.0
650,1.8342301E7
651,9671901.0
652,1.29267E7
653,1.02578E7
654,1.94556E7
655,1.0500199E7
656,9597701.0
657,8242200.0
658,1.85537E7
659,7681800.0
660,9261200.0
661,8223299.0
662,7570801.0
663,1.89893E7
664,9410101.0
665,9450899.0
666,8145999.0
667,1.77835E7
668,7939300.0
669,9108800.0
670,7663900.0
671,8416000.0
672,1.8284799E7
673,8482000.0
674,8836000.0
675,7578999.0
676,7592701.0
677,1.79375E7
678,8778000.0
679,9345101.0
680,9276700.0
681,1.92278E7
682,8798899.0
683,7580500.0
684,8334500.0
685,7681601.0
686,1.7456901E7
687,6944699.0
688,6865099.0
689,8415000.0
690,7917901.0
691,6859100.0
692,1.66559E7
693,7075801.0
694,7147800.0
695,7354400.0
696,9962100.0
697,1.74955E7
698,1.06493E7
699,9722500.0
700,1.0875799E7
701,2.01336E7
702,7817601.0
703,8662200.0
704,7622700.0
705,7567101.0
706,2.00277E7
707,1.16018E7
708,9725600.0
709,8324999.0
710,1.96925E7
711,8948300.0
712,8469600.0
713,8376300.0
714,1.93734E7
715,8431600.0
716,9194801.0
717,8723100.0
718,8248499.0
719,2.03364E7
720,9103199.0
721,9299401.0
722,8068400.0
723,2.0166599E7
724,8212500.0
725,8555299.0
726,8141799.0
727,8494499.0
728,1.91525E7
729,9691399.0
730,9437500.0
731,8941800.0
732,2.19601E7
733,1.2411E7
734,1.16847E7
735,1.0646699E7
736,2.2386E7
737,1.0812699E7
738,1.10859E7
739,2.16107E7
740,1.09923E7
741,1.26636E7
742,1.38693E7
743,2.99052E7
744,1.13177E7
745,2.71457E7
746,1.72043E7
747,1.08401E7
748,2.87089E7
749,9210100.0
750,9283900.0
751,2.11997E7
752,1.1631701E7
753,1.0560399E7
754,2.1357E7
755,9519900.0
756,1.1862699E7
757,9300900.0
758,2.22405E7
759,1.05069E7
760,1.02873E7
761,1.0018299E7
762,2.07281E7
763,9932999.0
764,9999600.0
765,8786900.0
766,2.05202E7
767,9679500.0
768,9672499.0
769,8250000.0
770,2.0028499E7
771,8639300.0
772,9831399.0
773,8507700.0
774,1.9863699E7
775,8645700.0
776,9403300.0
777,8466200.0
778,8905400.0
779,2.06289E7
780,1.01038E7
781,8774801.0
782,8672800.0
783,2.2591399E7
784,9904000.0
785,9465300.0
786,7605700.0
787,1.85292E7
788,7810799.0
789,8106099.0
790,6268500.0
791,6335300.0
792,1.7379E7
793,6359000.0
794,6315601.0
795,6213200.0
796,4791700.0
797,4494300.0
798,4797401.0
799,1.75038E7
800,7013499.0
801,7302399.0
802,6875600.0
803,6018500.0
804,5611501.0
805,1.64574E7
806,5190100.0
807,5439900.0
808,5193500.0
809,4791200.0
810,5434800.0
811,4465900.0
812,1.78975E7
813,7185601.0
814,7756800.0
815,7892099.0
816,6383899.0
817,7300101.0
818,1.73444E7
819,7697699.0
820,6964999.0
821,7458500.0
822,7327900.0
823,1.7731E7
824,6189000.0
825,9362800.0
826,6590500.0
827,7026900.0
828,1.13703E7
829,1.65775E7
830,5833200.0
831,8884400.0
832,8042500.0
833,7693900.0
834,1.71437E7
835,7340900.0
836,7162500.0
837,7996100.0
838,7645300.0
839,1.67016E7
840,4989500.0
841,9095600.0
842,8353100.0
843,8075300.0
844,1.65196E7
845,5205000.0
846,8255800.0
847,1.07094E7
848,5036000.0
849,5773100.0
850,1.67358E7
851,4991900.0
852,5490900.0
853,5835600.0
854,5943900.0
855,5410400.0
856,5154500.0
857,1.69112E7
858,4989200.0
859,7894700.0
860,7662100.0
861,8641200.0
862,6997500.0
863,1.87487E7
